1,Jeff Bezos,145.1,Amazon,United States,
2,Bill Gates, $103.8 B ,  Microsoft,United States,
3,Bernard Arnault & family, $89.3 B  ,  LVMH,France,
4,Warren Buffett, $73.5 B  ,  Berkshire Hathaway,United States,
5,Mark Zuckerberg, $70.3 B  ,  Facebook,United States,
6,Larry Ellison, $66.5 B  ,  software,United States,
7,Steve Ballmer, $62.8 B  ,  Microsoft,United States,
8,Amancio Ortega, $59.5 B  ,  Zara,Spain,
9,Larry Page, $58.3 B  ,  Google,United States,
10,Jim Walton, $57.1 B  ,  Walmart,United States,
11,Alice Walton, $56.9 B  ,  Walmart,United States,
12,Rob Walton, $56.6 B  ,  Walmart,United States,
13,Sergey Brin, $56.2 B  ,  Google,United States,
14,Michael Bloomberg, $55.9 B  ,  Bloomberg LP,United States,
15,Francoise Bettencourt Meyers & family, $52.6 B  ,  L'Oreal,France,
16,Mukesh Ambani, $51.2 B  ,"  petrochemicals, oil & gas",India,
17,MacKenzie Bezos, $47.3 B  ,  Amazon.com,United States,
18,Carlos Slim Helu & family, $46.6 B  ,  telecom,Mexico,
19,Ma Huateng, $45.8 B  ,  internet media,China,
20,Charles Koch, $43.4 B  ,  Koch Industries,United States,
20,Julia Koch & family, $43.4 B  ,  Koch Industries,United States,
22,Jack Ma, $41.8 B  ,  e-commerce,China,
23,Elon Musk, $37.4 B  ,"  Tesla Motors, SpaceX",United States,
24,David Thomson & family, $36.2 B  ,  media,Canada,
25,Phil Knight & family, $35.9 B  ,  Nike,United States,
26,Beate Heister & Karl Albrecht Jr., $35.2 B  ,  supermarkets,Germany,
27,François Pinault & family, $32.7 B  ,  luxury goods,France,
28,Dieter Schwarz, $32.6 B  ,  retail,Germany,
29,Sheldon Adelson, $29.4 B  ,  casinos,United States,
30,Lee Shau Kee, $27.7 B  ,  real estate,Hong Kong,
31,John Mars, $27.3 B  ,"  candy, pet food",United States,
31,Jacqueline Mars, $27.3 B  ,"  candy, pet food",United States,
33,Michael Dell, $27.0 B  ,  Dell computers,United States,
34,Li Ka-shing, $25.8 B  ,  diversified,Hong Kong,
35,Colin Zheng Huang, $25.7 B  ,  e-commerce,China,
36,Yang Huiyan & family, $24.5 B  ,  real estate,China,
37,Giovanni Ferrero, $24.5 B  ,"  Nutella, chocolates",Italy,
38,Vladimir Potanin, $23.9 B  ,  metals,Russia,
39,Hui Ka Yan, $23.0 B  ,  real estate,China,
40,Tadashi Yanai & family, $22.8 B  ,  fashion retail,Japan,
41,Dietrich Mateschitz, $22.5 B  ,  Red Bull,Austria,
42,He Xiangjian, $22.5 B  ,  home appliances,China,
43,Masayoshi Son, $21.7 B  ,"  internet, telecom",Japan,
44,Jim Simons, $21.6 B  ,  hedge funds,United States,
45,William Lei Ding, $21.6 B  ,  online games,China,
46,Leonid Mikhelson, $20.6 B  ,"  gas, chemicals",Russia,
47,Alain Wertheimer, $20.5 B  ,  Chanel,France,
47,Gerard Wertheimer, $20.5 B  ,  Chanel,France,
49,Takemitsu Takizaki, $20.3 B  ,  sensors,Japan,
50,Vladimir Lisin, $20.1 B  ,"  steel, transport",Russia,
51,Qin Yinglin & family, $20.0 B  ,  pig breeding,China,
52,Joseph Safra, $19.4 B  ,  banking,Brazil,
53,Lukas Walton, $19.4 B  ,  Walmart,United States,
54,Susanne Klatten, $18.8 B  ,"  BMW, pharmaceuticals",Germany,
55,Vagit Alekperov, $18.5 B  ,  oil,Russia,
56,Alexey Mordashov & family, $18.2 B  ,"  steel, investments",Russia,
57,Theo Albrecht Jr & family, $18.1 B  ,"  Aldi, Trader Joe's",Germany,
58,Ray Dalio, $18.0 B  ,  hedge funds,United States,
59,Len Blavatnik, $18.0 B  ,  diversified,United States,
60,Laurene Powell Jobs & family, $18.0 B  ,"  Apple, Disney",United States,
61,Klaus-Michael Kuehne, $17.9 B  ,  shipping,Germany,
62,Gennady Timchenko, $17.6 B  ,"  oil, gas",Russia,
63,Leonardo Del Vecchio & family, $17.5 B  ,  eyeglasses,Italy,
64,Stephen Schwarzman, $17.3 B  ,  investments,United States,
65,Wang Wei, $16.5 B  ,  package delivery,China,
66,Joseph Lau, $16.4 B  ,  real estate,Hong Kong,
67,Zhang Yiming, $16.2 B  ,  software,China,
68,John Menard Jr, $16.1 B  ,  home improvement stores,United States,
69,Zhong Huijuan, $16.1 B  ,  pharmaceuticals,China,
70,Suleiman Kerimov & family, $16.0 B  ,  investments,Russia,
71,Petr Kellner, $15.8 B  ,"  finance, telecommunications",Czechia,
72,Rupert Murdoch & family, $15.8 B    01%,89,"newspapers, TV network",United States
73,Radhakishan Damani & family, $15.8 B  ,"  retail, investments",India,
74,Zhang Zhidong, $15.7 B  ,  internet media,China,
75,Lee Kun-hee, $15.6 B  ,  Samsung,South Korea,
76,Leonard Lauder, $15.4 B  ,  Estee Lauder,United States,
77,Donald Bren, $15.3 B  ,  real estate,United States,
78,Lee Man Tat, $15.2 B  ,  food,Hong Kong,
79,Pang Kang, $15.0 B  ,  soy sauce,China,
80,Eric Schmidt, $14.8 B  ,  Google,United States,
81,Stefan Persson, $14.7 B  ,  H&M,Sweden,
82,Alisher Usmanov, $14.6 B  ,"  steel, telecom, investments",Russia,
83,Dietmar Hopp & family, $14.4 B  ,  software,Germany,
84,Thomas Peterffy, $14.4 B  ,  discount brokerage,United States,
85,Gina Rinehart, $14.3 B 01%,66,mining,Australia
86,Wu Yajun & family, $14.2 B  ,  real estate,China,
87,Emmanuel Besnier, $14.2 B  ,  cheese,France,
88,Andrey Melnichenko, $14.2 B  ,"  coal, fertilizers",Russia,
89,Mikhail Fridman, $14.1 B  ,"  oil, banking, telecom",Russia,
90,Dhanin Chearavanont, $14.1 B  ,  diversified,Thailand,
91,Steve Cohen, $13.9 B  ,  hedge funds,United States,
92,Stefan Quandt, $13.9 B  ,  BMW,Germany,
93,Carl Icahn, $13.9 B  ,  investments,United States,
94,Lui Che Woo & family, $13.8 B  ,  casinos/hotels,Hong Kong,
95,Liu Yonghao & family, $13.8 B  ,  agribusiness,China,
96,R. Budi Hartono, $13.8 B  ,"  banking, tobacco",Indonesia,
97,Wang Jianlin, $13.7 B  ,  real estate,China,
98,Sun Piaoyang, $13.7 B  ,  pharmaceuticals,China,
99,Hasso Plattner & family, $13.7 B  ,  software,Germany,
100,Reinhold Wuerth & family, $13.7 B  ,  fasteners,Germany,
101,Pierre Omidyar, $13.3 B  ,"  eBay, PayPal",United States,
102,Michael Hartono, $13.2 B  ,"  banking, tobacco",Indonesia,
103,Charlene de Carvalho-Heineken & family, $13.1 B  ,  Heineken,Netherlands,
104,Li Xiting, $13.1 B  ,  medical devices,Singapore,
105,Walter P.J. Droege, $13.0 B  ,  consulting,Germany,
106,James Ratcliffe, $12.9 B  ,  chemicals,United Kingdom,
107,Jorge Paulo Lemann & family, $12.9 B  ,  beer,Brazil,
108,Abigail Johnson, $12.9 B  ,  money management,United States,
109,Zhang Yong, $12.8 B  ,  restaurants,Singapore,
110,Donald Newhouse, $12.7 B  ,  media,United States,
111,Li Shufu, $12.7 B  ,  automobiles,China,
112,Xu Hang, $12.6 B  ,  medical devices,Hong Kong,
113,Heinz Hermann Thiele & family, $12.6 B  ,  brakes,Germany,
114,Ken Griffin, $12.5 B  ,  hedge funds,United States,
115,Kwong Siu-hing, $12.5 B  ,  real estate,Hong Kong,
116,Udo & Harald Tschira, $12.4 B  ,  software,Germany,
117,Pierre Castel & family, $12.4 B  ,  wine,France,
118,Iris Fontbona & family, $12.4 B  ,  mining,Chile,
119,Shiv Nadar, $12.3 B  ,  software services,India,
120,Peter Woo, $12.1 B 01%,74,real estate,Hong Kong
121,Hinduja brothers, $12.1 B  ,  diversified,United Kingdom,
122,Charoen Sirivadhanabhakdi, $12.1 B  ,"  alcohol, real estate",Thailand,
123,David Tepper, $12.0 B  ,  hedge funds,United States,
124,Jorn Rausing, $12.0 B  ,  packaging,Sweden,
125,Dustin Moskovitz, $11.8 B  ,  Facebook,United States,
126,Graeme Hart, $11.8 B  ,  investments,New Zealand,
127,Roman Abramovich, $11.8 B  ,"  steel, investments",Russia,
128,Gordon Moore, $11.8 B  ,  Intel,United States,
129,German Larrea Mota Velasco & family, $11.8 B  ,  mining,Mexico,
130,Hui Wing Mau, $11.8 B  ,  real estate,Hong Kong,
131,Pallonji Mistry, $11.6 B  ,  construction,Ireland,
132,Philip Anschutz, $11.4 B  ,  investments,United States,
133,Goh Cheng Liang, $11.4 B  ,  paints,Singapore,
134,Mikhail Prokhorov, $11.3 B 02%,55,investments,Russia
135,Robert & Philip Ng, $11.2 B  ,  real estate,Singapore,
136,Ricardo Salinas Pliego & family, $11.2 B  ,"  retail, media",Mexico,
137,Viktor Vekselberg, $11.0 B  ,"  metals, energy",Russia,
138,Joseph Tsai, $10.9 B  ,  e-commerce,Canada,
139,Robin Zeng, $10.8 B  ,  batteries,Hong Kong,
140,Hank & Doug Meijer, $10.7 B  ,  supermarkets,United States,
141,Charles Butt & family, $10.7 B  ,  supermarkets,United States,
142,Eduardo Saverin, $10.7 B  ,  Facebook,Brazil,
143,Uday Kotak, $10.6 B  ,  banking,India,
144,Finn Rausing, $10.6 B  ,  packaging,Sweden,
144,Kirsten Rausing, $10.6 B  ,  packaging,Sweden,
146,Cyrus Poonawalla, $10.4 B  ,  vaccines,India,
147,Thomas Frist Jr & family, $10.3 B  ,  hospitals,United States,
148,Patrick Drahi, $10.2 B  ,  telecom,France,
149,Jan Koum, $10.1 B  ,  WhatsApp,United States,
150,John Fredriksen, $10.1 B  ,  shipping,Cyprus,
151,Stanley Kroenke, $10.0 B  ,"  sports, real estate",United States,
152,Anthony Pratt, $10.0 B  ,  manufacturing,Australia,
153,Robert Kuok, $10.0 B  ,"  palm oil, shipping, property",Malaysia,
154,Carl Cook, $9.9 B  ,  medical devices,United States,
155,Mike Cannon-Brookes, $9.8 B  ,  software,Australia,
156,Scott Farquhar, $9.8 B  ,  software,Australia,
157,Jiang Rensheng & family, $9.8 B  ,  vaccines,China,
158,Richard Qiangdong Liu, $9.8 B  ,  e-commerce,China,
159,Sunil Mittal & family, $9.8 B  ,  telecom,India,
160,Lei Jun, $9.7 B  ,  smartphones,China,
161,Shahid Khan, $9.6 B  ,  auto parts,United States,
162,Gautam Adani, $9.5 B  ,"  commodities, ports",India,
163,Christy Walton, $9.3 B  ,  Walmart,United States,
164,Sarath Ratanavadi, $9.2 B  ,  energy,Thailand,
165,Quek Leng Chan, $9.2 B  ,"  banking, property",Malaysia,
166,German Khan, $9.1 B  ,"  oil, banking, telecom",Russia,
167,Iskander Makhmudov, $9.1 B  ,"  mining, metals, machinery",Russia,
168,David Duffield, $9.1 B  ,  business software,United States,
169,Sun Hongbin, $9.1 B  ,  real estate,United States,
170,Luis Carlos Sarmiento, $9.1 B  ,  banking,Colombia,
171,Massimiliana Landini Aleotti & family, $9.0 B  ,  pharmaceuticals,Italy,
172,Stewart and Lynda Resnick, $9.0 B  ,"  agriculture, water",United States,
173,Stefano Pessina, $8.9 B  114%,79,drugstores,Italy
174,John Doerr, $8.8 B  ,  venture capital,United States,
175,Chen Bang, $8.7 B  ,  hospitals,China,
176,Lu Zhongfang, $8.7 B  ,  education,China,
177,Lakshmi Mittal, $8.6 B  ,  steel,India,
178,Niels Peter Louis-Hansen, $8.6 B  ,  medical devices,Denmark,
179,Anders Holch Povlsen, $8.6 B  ,  fashion retail,Denmark,
180,Robert Pera, $8.6 B  ,  wireless networking gear,United States,
181,Jerry Jones, $8.6 B  ,  Dallas Cowboys,United States,
182,Jim Kennedy, $8.5 B  ,"  media, automotive",United States,
182,Blair Parry-Okeden, $8.5 B  ,"  media, automotive",United States,
184,Viktor Rashnikov, $8.5 B  ,  steel,Russia,
185,Zhang Bangxin, $8.4 B  ,  education,China,
186,George Soros, $8.3 B  ,  hedge funds,United States,
187,Andrew Beal, $8.3 B  ,"  banks, real estate",United States,
188,Seo Jung-jin, $8.3 B  ,  biotech,South Korea,
189,Ann Walton Kroenke, $8.3 B  ,  Walmart,United States,
190,Xu Shihui, $8.2 B  ,"  snacks, beverages",China,
191,Zong Qinghou, $8.2 B  ,  beverages,China,
192,Friedhelm Loh, $8.1 B  ,  manufacturing,Germany,
193,Wang Xing, $8.1 B  ,  e-commerce,China,
194,Andrew Forrest, $8.1 B  ,  mining,Australia,
195,David Geffen, $8.1 B  ,"  movies, record labels",United States,
196,Cai Kui, $8.1 B  ,  real estate,China,
197,Tse Ping, $8.1 B  ,  pharmaceuticals,China,
198,Gong Hongjia & family, $8.1 B  ,  video surveillance,Hong Kong,
199,Marcel Herrmann Telles, $8.1 B  ,  beer,Brazil,
200,Eyal Ofer, $8.0 B  ,"  real estate, shipping",Israel,
201,Diane Hendricks, $8.0 B  ,  roofing,United States,
202,Gianluigi & Rafaela Aponte, $8.0 B  ,  Shipping,Switzerland,
203,Ernesto Bertarelli, $8.0 B  ,"  biotech, investments",Switzerland,
204,Michael Platt, $8.0 B  ,  hedge funds,United Kingdom,
204,Eric Wittouck, $8.0 B  ,  Investments,Belgium,
206,Aliko Dangote, $8.0 B  ,"  cement, sugar",Nigeria,
207,Ian & Richard Livingstone, $7.9 B  ,  real estate,United Kingdom,
208,Galen Weston & family, $7.9 B  ,  retail,Canada,
209,Dilip Shanghvi, $7.9 B  ,  pharmaceuticals,India,
210,Wang Wenyin, $7.8 B  ,"  mining, copper products",China,
211,Cen Junda, $7.8 B  ,  pharmaceuticals,China,
212,Alain Merieux & family, $7.8 B  ,  pharmaceuticals,France,
213,Leonid Fedun & family, $7.7 B  ,  oil,Russia,
214,Michael Kadoorie, $7.7 B  ,"  hotels, energy",Hong Kong,
215,Leng Youbin, $7.7 B  ,  dairy,China,
216,Georg Schaeffler, $7.7 B  ,  auto parts,Germany,
217,Stephen Ross, $7.6 B  ,  real estate,United States,
218,Zhang Fan, $7.6 B  ,  touch screens,China,
219,August von Finck, $7.6 B  ,  investments,Germany,
220,Harry Triguboff, $7.6 B  ,  real estate,Australia,
221,James Goodnight, $7.5 B  ,  software,United States,
222,Tom & Judy Love, $7.5 B  ,  retail & gas stations,United States,
223,Nicky Oppenheimer & family, $7.5 B  ,  diamonds,South Africa,
224,Kei Hoi Pang, $7.4 B  ,  real estate,China,
225,Leon Black, $7.4 B  ,  private equity,United States,
226,Zhang Jindong, $7.4 B  ,  appliance retailer,China,
227,John Grayken, $7.4 B  ,  private equity,Ireland,
228,Nancy Walton Laurie, $7.4 B  ,  Walmart,United States,
229,Eric Yuan & family, $7.4 B  ,  video conferencing,United States,
230,Ma Jianrong & family, $7.3 B  ,"  textiles, apparel",China,
231,David Shaw, $7.3 B  ,  hedge funds,United States,
232,Ronald Perelman, $7.3 B  ,  leveraged buyouts,United States,
233,Zhou Qunfei, $7.2 B  ,  smartphone screens,Hong Kong,
234,Heinrich Deichmann & family, $7.2 B  ,  footwear,Germany,
235,David Green & family, $7.2 B  ,  retail,United States,
236,Steven Rales, $7.2 B  ,  manufacturing,United States,
237,Kim Jung-ju, $7.2 B  ,  online games,South Korea,
238,Kumar Birla, $7.1 B  ,  commodities,India,
239,Simon Reuben, $7.1 B  ,"  real estate, investments",United Kingdom,
240,David Reuben, $7.1 B  ,"  investments, real estate",United Kingdom,
241,Andreas Struengmann & family, $7.1 B  ,  pharmaceuticals,Germany,
241,Thomas Struengmann & family, $7.1 B  ,  pharmaceuticals,Germany,
243,Liang Wengen, $7.1 B  ,  construction equipment,China,
244,Alexei Kuzmichev, $7.1 B  ,"  oil, banking, telecom",Russia,
245,Denise Coates, $7.1 B  ,  online gambling,United Kingdom,
246,Charles Schwab, $7.0 B  01%,83,discount brokerage,United States
247,Yu Renrong, $7.0 B  ,  semiconductors,China,
248,Andrei Skoch & family, $7.0 B  ,  steel,Russia,
249,Rodolphe Saadé & family, $7.0 B  ,  shipping,France,
250,Robert Kraft, $6.9 B  ,  New England Patriots,United States,
251,Daniel Gilbert, $6.9 B  ,  Quicken Loans,United States,
252,Charles Ergen, $6.9 B  12%,67,satellite TV,United States
253,Frederik Paulsen, $6.9 B  ,  health care,Sweden,
254,Xavier Niel, $6.9 B  ,"  internet, telecom",France,
255,Prajogo Pangestu, $6.8 B  ,  petrochemicals,Indonesia,
256,Eli Broad, $6.8 B  ,  investments,United States,
257,Marijke Mars, $6.8 B  ,"  candy, pet food",United States,
257,Pamela Mars, $6.8 B  ,"  candy, pet food",United States,
257,Valerie Mars, $6.8 B  ,"  candy, pet food",United States,
257,Victoria Mars, $6.8 B  ,"  candy, pet food",United States,
261,Patrick Soon-Shiong, $6.8 B  128%,68,pharmaceuticals,United States
262,Charles Cadogan & family, $6.8 B  ,  real estate,United Kingdom,
263,Jude Reyes, $6.8 B  ,  food distribution,United States,
263,J. Christopher Reyes, $6.8 B  ,  food distribution,United States,
265,Giorgio Armani, $6.7 B  ,  luxury goods,Italy,
266,Dang Yanbao, $6.7 B  ,  coal,China,
267,Jensen Huang, $6.7 B  ,  semiconductors,United States,
268,Wolfgang Marguerre & family, $6.6 B  ,  pharmaceuticals,Germany,
269,Francis Choi, $6.6 B  ,  real estate,Hong Kong,
270,Israel Englander, $6.6 B  ,  hedge funds,United States,
